D,W,A
0.41886,0.0272053,0.210449
0.41886,0.027216,0.210514
0.41886,0.0272284,0.210551
0.41886,0.0272367,0.210558
0.419152,0.0272506,0.210593
0.419429,0.0272564,0.210628
0.419429,0.0272574,0.210688
0.419485,0.0272657,0.210755
0.419493,0.027295,0.210774
0.419493,0.0273003,0.210804
0.419493,0.0273177,0.210833
0.419493,0.0273333,0.211035
0.419493,0.027379,0.211069
0.419493,0.0273877,0.211107
0.419552,0.0274272,0.21112
0.419563,0.0274574,0.211128
0.419563,0.0274667,0.211168
0.420121,0.0274704,0.211247
0.420121,0.0274731,0.211297
0.420314,0.0274766,0.211402
0.420314,0.0274818,0.211517
0.420314,0.0274858,0.211771
0.420746,0.0274926,0.21185
0.420746,0.0274976,0.212067
0.420746,0.0275083,0.212177
0.420746,0.0275248,0.212303
0.420746,0.0275294,0.212307
0.420746,0.0275422,0.212332
0.420771,0.027555,0.212362
0.42089,0.0275593,0.21238
0.421045,0.0275835,0.212687
0.421045,0.0275857,0.212717
0.421045,0.0275896,0.21275
0.421045,0.0275897,0.212775
0.421045,0.0276154,0.212812
0.421045,0.0276305,0.212871
0.421045,0.0276478,0.212985
0.421045,0.0276656,0.213075
0.421515,0.0276746,0.213102
0.421515,0.027677,0.213203
0.421515,0.0276846,0.213324
0.421659,0.0276848,0.213442
0.421719,0.0276922,0.213767
0.421722,0.0277043,0.213785
0.421722,0.0277345,0.213807
0.421722,0.0277418,0.213905
0.421722,0.027746,0.213969
0.421722,0.0277485,0.214016
0.42187,0.0277526,0.214097
0.42187,0.0277645,0.2141
0.42187,0.0277645,0.214107
0.42187,0.0277742,0.21415
0.42187,0.0277879,0.214152
0.422576,0.0277908,0.214173
0.422576,0.0277949,0.214377
0.422576,0.0277962,0.214595
0.422576,0.0277979,0.214672
0.422576,0.0278058,0.21468
0.423299,0.027809,0.214803
0.423299,0.0278191,0.214878
0.423299,0.0278386,0.214939
0.423299,0.0278454,0.215125
0.423299,0.0278678,0.215166
0.423299,0.0279335,0.215184
0.423798,0.0279368,0.215193
0.423798,0.0279474,0.215211
0.423914,0.0279517,0.215311
0.423914,0.0279632,0.215378
0.423914,0.0279704,0.215414
0.424145,0.0279712,0.215529
0.424145,0.0279721,0.215573
0.424145,0.0279886,0.215588
0.424145,0.0279901,0.215824
0.424145,0.0279907,0.215973
0.424145,0.0279952,0.216052
0.424331,0.0279974,0.216077
0.424331,0.0280224,0.216079
0.424331,0.0280355,0.216081
0.424331,0.0280725,0.216111
0.424349,0.0280829,0.216264
0.424349,0.0281053,0.216309
0.424349,0.0281054,0.216392
0.424349,0.0281205,0.216397
0.424356,0.028134,0.216504
0.424381,0.0281452,0.21657
0.424381,0.0281534,0.216631
0.424381,0.0281723,0.216714
0.424497,0.0281817,0.216817
0.424497,0.0282025,0.216874
0.424497,0.0282091,0.2169
0.424497,0.0282133,0.216985
0.424497,0.0282181,0.217142
0.424497,0.0282231,0.217184
0.424507,0.0282232,0.217194
0.424521,0.0282257,0.217245
0.424521,0.0282329,0.217254
0.424521,0.0282344,0.21733
0.42463,0.0282446,0.217357
0.42463,0.0282547,0.217385
0.42463,0.0282693,0.217577
0.424851,0.0282724,0.217714
0.424851,0.0282808,0.217717
0.424851,0.0282824,0.217786
0.424851,0.0282857,0.217833
0.424851,0.0282899,0.217839
0.424928,0.0283028,0.21795
0.424928,0.0283154,0.217954
0.424928,0.0283329,0.217994
0.424928,0.0283614,0.218116
0.425329,0.0283627,0.2182
0.425329,0.0283908,0.218206
0.425346,0.0283937,0.218217
0.425346,0.0284048,0.218263
0.425462,0.0284071,0.218378
0.425525,0.0284176,0.21846
0.425525,0.0284181,0.218465
0.425525,0.0284353,0.218694
0.425525,0.028451,0.218708
0.425525,0.0284535,0.218712
0.425525,0.0284604,0.218784
0.42568,0.028463,0.218811
0.42568,0.0284666,0.218879
